platform,user_id,avatar,screen_name,name,description,fan,validation,type,verified_reason
weibo,1296119181,"https://tvax2.sinaimg.cn/crop.18.20.897.897.1024/4d41358dly8gkalagpo8cj20pz0q0mxw.jpg?KID=imgbed,tva&Expires=1716301444&ssig=Y67%2BR9aRgy",车市红点,车市红点,实来于虚，归于虚；有生于无，归于无。,2093614,True,Celebrities,汽车博主
weibo,2197868115,"https://tvax2.sinaimg.cn/crop.0.0.1125.1125.1024/8300ce53ly8fm3vvj2zm6j20v90v90wp.jpg?KID=imgbed,tva&Expires=1716301445&ssig=FAB6z%2BMZcx",GreyWolfe0108,GreyWolfe0108,人要有独立思考能力,192,False,,
weibo,5509351218,"https://tvax1.sinaimg.cn/crop.0.0.300.300.1024/0060QFVwly8hiqkvi2pm2j308c08caa8.jpg?KID=imgbed,tva&Expires=1716301447&ssig=Mo48uggXyq",天马三大爷,天马三大爷,数码科技产品评测，合作v信850616443！,143174,True,Celebrities,数码博主 微博原创视频博主
weibo,1400528167,"https://tva1.sinaimg.cn/crop.18.110.330.330.1024/537a5d27gw1f2ct6swf00j20a70fadhs.jpg?KID=imgbed,tva&Expires=1716301448&ssig=GVu0fj7mcs",护航儿童的非著名记者,护航儿童的非著名记者,推动社会进步服务孩子健康成长，这是我们的责任，目标和努力所在,62694,False,,
weibo,1699500804,"https://tvax1.sinaimg.cn/crop.0.0.437.437.1024/654c5304ly8h27ld8yewpj20c50c5dfy.jpg?KID=imgbed,tva&Expires=1716301449&ssig=73SiP5psv%2F",株洲魅,株洲魅,说真话的株洲微博大V，爆料、互帮请私信。,117351,True,Celebrities,本地资讯博主（株洲）
weibo,6353116577,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.1024/006VX1Qdly8hn2fpcvq9cj30u00u0408.jpg?KID=imgbed,tva&Expires=1716301451&ssig=4NIK3pQju2",哀之音,哀之音,精致：,600,False,,
weibo,7727117340,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.1024/008qWccQly8hiff2tfe73j30u00u041n.jpg?KID=imgbed,tva&Expires=1716301452&ssig=OnGxlx8iDz",猫神小师妹,猫神小师妹,陪聊🔍公众号：猫神小师妹（💄口红池） 懂得珍惜 才配拥有 🧣猫神小师妹,2487,False,,
weibo,1919126821,"https://tvax4.sinaimg.cn/crop.420.0.1080.1080.1024/72638d25ly1ggbg3qnxplj21hc0u0jzi.jpg?KID=imgbed,tva&Expires=1716301453&ssig=YzAHkWVN6Y",A股量化机器狗,A股量化机器狗,专注A股市场风险管理,221388,True,Celebrities,财经博主
weibo,6347229778,"https://tvax3.sinaimg.cn/crop.0.0.996.996.1024/006VykpQly8gc9h72mt4fj30ro0roq7u.jpg?KID=imgbed,tva&Expires=1716301455&ssig=cl4jEWyx9H",迷你可爱哥,迷你可爱哥,专业操盘手（商业合作私信联系）,50721,True,Celebrities,财经博主 微博VLOG博主 头条文章作者 问答答主
weibo,3619067232,"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/d7b69560ly8gqwuwlvt3tj20e80e83yv.jpg?KID=imgbed,tva&Expires=1716301456&ssig=3ythGib%2BwL",一个冰激凌甜仝,一个冰激凌甜仝,前方可爱区域  禁止糟糕事物通行🌈,294,False,,
