from,post_id,text,publish_time,cnt_retweet,cnt_agree,cnt_comment,user_id,screen_name,name,url,action,avatar,img,imgs,query,sentiment_score,cluster,keywords
weibo,5028097470497861,#问界回应车辆起火司乘3人遇难# 愿天堂没有华为🙏 ,2024-04-28 11:35:17,4,56,22,2202218177,小端_,小端_,https://weibo.com/2202218177/ObMWv25w1,post,"https://tvax4.sinaimg.cn/crop.0.0.996.996.1024/83432ec1ly8gdijrg8adgj20ro0roq4k.jpg?KID=imgbed,tva&Expires=1716301457&ssig=XeA2TcErkv",,[],#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5028105477950710,2024年4月26日16时34分左右，一辆问界M7 Plus在山西运城发生严重交通事故，对于事故中出现的人员伤亡，我们深表痛心，对遇难者表示沉痛的哀悼。 根据国家平台数据接入管理规定，获悉该车辆发生事故时车速115km/h，安全气囊正常打开，动力电池包特性均正常。 我们正在积极配合当地交警部门开展事故调查 ,2024-04-28 12:07:06,1773,104400,7637,7711487956,AITO汽车,AITO汽车,https://weibo.com/7711487956/ObN9pxmlg,post,"https://tvax2.sinaimg.cn/crop.0.0.260.260.1024/008pSCi0ly8gwy79mqonyj3078078jr8.jpg?KID=imgbed,tva&Expires=1716301523&ssig=yfbwmPwYvG",,[],#AITO汽车发布山西问界M7事故说明#,0.5,四大疑问_说明,[]
weibo,5029145348408375,#参与问界M7事故救援黑衣男子发声##问界M7事故砸窗救援者在现场大哭#   4月30日，问界M7追尾养护车事故中参与救援的黑衣男子接受记者采访称，“如果要是早一分钟（快一分钟），我都能把所有被困人拽出来，也算是个遗憾”。  车门是否打开，救助者给出的说法。 此前，遇害者家属发微博“感谢网友支持并 ,2024-05-01 08:59:11,6,60,9,1589147860,马延明,马延明,https://weibo.com/1589147860/OcecCzhoX,post,"https://tvax2.sinaimg.cn/crop.0.0.750.750.1024/5eb878d4ly8hkmhq86pjgj20ku0kugmg.jpg?KID=imgbed,tva&Expires=1716301531&ssig=%2BeG2fj5CHb",https://wx1.sinaimg.cn/orj960/5eb878d4ly1hp9qrirxnbj20u01olgv3,"['https://wx1.sinaimg.cn/orj960/5eb878d4ly1hp9qrirxnbj20u01olgv3', 'https://wx1.sinaimg.cn/orj960/5eb878d4ly1hp9qrj3wnqj20u01t0wmq']",#问界M7事故砸窗救援者在现场大哭#,0.5,,['#问界M7事故砸窗救援者在现场大哭#']
weibo,5028099371044792,#问界回应车辆起火司乘3人遇难#逝者安息！  现在个别人很喜欢拿车祸来说某种车不行，我觉得这样不合适。每一次车祸的发生，都是有特殊性。导致车祸的原因有很多，操作，天气，车辆本身，交通状况，其他外在因素，都有可能导致事故的发生。在没有官方通报之前，我们还是耐心等一个说明。  各种技术的进 ,2024-04-28 11:42:50,17,418,109,2099591797,鍋盖頭司令,鍋盖頭司令,https://weibo.com/2099591797/ObMZz4nNu,post,"https://tvax1.sinaimg.cn/crop.0.0.444.444.1024/002i5FJPly8hmywa1u52wj60cc0ccdgd02.jpg?KID=imgbed,tva&Expires=1716301532&ssig=jDqCQv%2FMo2",,[],#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5029002259727949,【#参与问界M7事故救援男子发声#：遗憾没救出被撞晕的3人】#问界M7事故砸窗救援者在现场大哭# 4月30日，问界M7追尾养护车事故中参与救援的黑衣男子接受记者采访称，“如果要是早一分钟（快一分钟），我都能把所有被困人拽出来，也算是个遗憾”。26日，侯平高速山西运城段一辆问界M7追尾养护车后起火致3 ,2024-04-30 23:30:36,63,953,264,1644114654,新京报,新京报,https://weibo.com/1644114654/OcatPEOGp,post,"https://tvax3.sinaimg.cn/crop.0.0.512.512.1024/001Ngxkily8h8vm7jc1igj60e80e8q3a02.jpg?KID=imgbed,tva&Expires=1716301537&ssig=CWjEvG8cXo",,[],#问界M7事故砸窗救援者在现场大哭#,0.5,,['#问界M7事故砸窗救援者在现场大哭#']
weibo,5028095079748495,问界客服回应：已成立专项小组跟进核实，会跟交管部门配合进行调查工作。  热搜终于又重新出现了。  #问界回应车辆起火司乘3人遇难# ,2024-04-28 11:25:47,3,58,9,5556519481,Turbo__Car,Turbo__Car,https://weibo.com/5556519481/ObMSDEU1N,post,"https://tvax4.sinaimg.cn/crop.0.0.916.916.1024/00642AxXly8hgx7xvj0maj30pg0pggm8.jpg?KID=imgbed,tva&Expires=1716301539&ssig=OJEi4g9b6x",https://wx1.sinaimg.cn/orj960/00642AxXly1hp6dt5rbkpj30qy1grjve,"['https://wx1.sinaimg.cn/orj960/00642AxXly1hp6dt5rbkpj30qy1grjve', 'https://wx1.sinaimg.cn/orj960/00642AxXly1hp6duir1jkj30p61gstdm']",#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5028267859644070,#专家谈问界M7碰撞后疑车门无法打开#问界M5、M9都是隐藏式门把手，我觉得现在的问题是，发生激烈碰撞后如果主驾昏迷，车机系统损坏严重，后排乘客还有意识，能否打开车窗或者车门协助昏迷乘客顺利逃生！ http://t.cn/A6TgJitY ,2024-04-28 22:52:21,2,118,13,5300157816,新智KK,新智KK,https://weibo.com/5300157816/ObRnjEsRw,post,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/005MGVaoly8hnxuk0ovrrj30u00u0q74.jpg?KID=imgbed,tva&Expires=1716301557&ssig=4Skjz2R55H",,[],#专家谈问界M7碰撞后疑车门无法打开#,-1.0,,['#专家谈问界M7碰撞后疑车门无法打开#']
weibo,5031062856273882,#问界回应M7事故四大疑问# 省流：  1、AEB速度范围为4-85km/h，当时事故车辆速度达到了115km/h，超出AEB工作范围  2、撞击导致前机舱线束短路产生火花起火，动力电池没有自燃  3、全车安全气囊正常打开，但是后台数据显示副驾驶和后排都没有系安全带  4、问界新M7 Plus有碰撞后自动落锁功能，事故导致 ,2024-05-06 15:58:40,17,232,50,1898587152,施兄评测,施兄评测,https://weibo.com/1898587152/Od25nqk7E,post,"https://tvax1.sinaimg.cn/crop.0.0.200.200.1024/712a2410ly1h51ztyhc1yj205k05k74b.jpg?KID=imgbed,tva&Expires=1716301572&ssig=QWed8qc5Yk",https://wx1.sinaimg.cn/orj960/712a2410gy1hpfumumwr5j20u039i7u1,"['https://wx1.sinaimg.cn/orj960/712a2410gy1hpfumumwr5j20u039i7u1', 'https://wx1.sinaimg.cn/orj960/712a2410gy1hpfumvl90ng20hs08k4qp', 'https://wx1.sinaimg.cn/orj960/712a2410gy1hpfumwfx78g20hs08lnpd']",#问界回应M7事故四大疑问#,-1.0,四大疑问_说明,['#问界回应M7事故四大疑问#']
weibo,5028438426256548,#问界M7追尾的养护车当时正浇水作业#真是奇了怪了，怎么到现在都没听人提起车主的问题呢？这驾驶员在高速上开车，怎么着也得保持一个合理的车距吧，结果搞得追尾了，那追尾的人怎么着也得负主要责任吧，甚至全责都有可能啊。咋就因为这是华为的车，驾驶员就能没事儿人一样，不用担责了呢？这逻辑真是让 ,2024-04-29 10:10:07,1,86,50,6225990601,华哥评论,华哥评论,https://weibo.com/6225990601/ObVOqqfC4,post,"https://tvax2.sinaimg.cn/crop.0.0.1077.1077.1024/006NlCzfly8hplci67nfpj30tx0txgng.jpg?KID=imgbed,tva&Expires=1716301590&ssig=IqITKMZXKK",,[],#问界M7追尾的养护车当时正浇水作业#,-1.0,,['#问界M7追尾的养护车当时正浇水作业#']
weibo,5031055302858172,【#赛力斯汽车法务部回应问界事故# 不实揣测、捏造虚假信息并通过媒体进行恶意传播的行为，均可能触犯法律】#问界事故碰撞车速超过AEB工作范围#  @赛力斯汽车法务部 发布声明表示，针对问界新M7 Plus交通事故。收到不少群众举报，有人在社交媒体平台发布交通事故中有关问界新M7 Plus的不实信息， ,2024-05-06 15:28:39,4,36,23,1988800805,凤凰网财经,凤凰网财经,https://weibo.com/1988800805/Od1TcbZxy,post,"https://tvax3.sinaimg.cn/crop.0.0.1024.1024.1024/002aANWlly8h0p9h64ugrj60sg0sg75m02.jpg?KID=imgbed,tva&Expires=1716301602&ssig=af6ltNtT%2BQ",https://wx1.sinaimg.cn/orj960/002aANWlly1hpfttz91pcj60zk6q6nk002,['https://wx1.sinaimg.cn/orj960/002aANWlly1hpfttz91pcj60zk6q6nk002'],#赛力斯汽车法务部回应问界事故#,1.0,,['#赛力斯汽车法务部回应问界事故#']
weibo,5031358424941090,问界终于把山西运城那车祸给盘清楚了，作为车主，我这心里总算是踏实了。看来新M7安全性能还是有保障的，这次交通事故也是一次意外，跟车辆安全技术无关，所以说大家开车都悠着点儿啊！#问界公布山西运城车祸调查说明#,2024-05-07 11:33:08,0,400,28,7840656265,车车小世界,车车小世界,https://weibo.com/7840656265/Od9M6kJp0,retweet,"https://tvax4.sinaimg.cn/crop.0.0.640.640.1024/008yCARPly8he6wyk1iohj30hs0hs3z2.jpg?KID=imgbed,tva&Expires=1716301610&ssig=12DcSoSV8D",,[],#问界公布山西运城车祸调查说明#,1.0,,['#问界公布山西运城车祸调查说明#']
